demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
heating,loss,thermal_bridges,r_35_walls_r_59_roof,kWh,2645.77568755,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,r_35_walls_r_59_roof,kWh,5254.59136168,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,r_35_walls_r_59_roof,kWh,17655.9407244,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,r_35_walls_r_59_roof,kWh,885.836333466,heating_demand.north,North,390
heating,gain,east,r_35_walls_r_59_roof,kWh,986.995228845,heating_demand.east,East,391
heating,gain,south,r_35_walls_r_59_roof,kWh,4127.93892223,heating_demand.south,South,392
heating,gain,west,r_35_walls_r_59_roof,kWh,2456.4321521,heating_demand.west,West,393
heating,gain,horizontal,r_35_walls_r_59_roof,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,r_35_walls_r_59_roof,kWh,2570.18404259,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,r_35_walls_r_59_roof,kWh,4251.46240129,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,r_35_walls_r_59_roof,kWh,7383.04845968,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,r_35_walls_r_59_roof,kWh,867.042464152,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,r_35_walls_r_59_roof,kWh,11196.2415037,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,roofs,r_35_walls_r_59_roof,kWh,4400.57021261,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,r_35_walls_r_59_roof,kWh,5044.37665887,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,r_35_walls_r_59_roof,kWh,11697.2983372,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,r_35_walls_r_59_roof,kWh,3852.30705877,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,r_35_walls_r_59_roof,kWh,3950.11220351,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,r_35_walls_r_59_roof,kWh,3032.09743092,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,r_35_walls_r_59_roof,kWh,1242.53851158,cooling_demand.north,North,414
cooling,gain,east,r_35_walls_r_59_roof,kWh,1456.39424076,cooling_demand.east,East,415
cooling,gain,south,r_35_walls_r_59_roof,kWh,3789.73939464,cooling_demand.south,South,416
cooling,gain,west,r_35_walls_r_59_roof,kWh,2613.91025849,cooling_demand.west,West,417
cooling,gain,horizontal,r_35_walls_r_59_roof,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,r_35_walls_r_59_roof,kWh,3147.01403151,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,r_35_walls_r_59_roof,kWh,5121.39860222,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,r_35_walls_r_59_roof,kWh,6746.21367629,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,r_52_walls,kWh,5191.41065335,heating_demand.walls_ag,Walls (AG),376
heating,loss,roofs,r_52_walls,kWh,3014.96637492,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,r_52_walls,kWh,4434.64655559,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,r_52_walls,kWh,8014.17985858,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,r_52_walls,kWh,2391.38640721,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,r_52_walls,kWh,5241.79872551,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,r_52_walls,kWh,15314.1039198,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,r_52_walls,kWh,885.836333466,heating_demand.north,North,390
heating,gain,east,r_52_walls,kWh,986.995228845,heating_demand.east,East,391
heating,gain,south,r_52_walls,kWh,4127.93892223,heating_demand.south,South,392
heating,gain,west,r_52_walls,kWh,2456.4321521,heating_demand.west,West,393
heating,gain,horizontal,r_52_walls,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,r_52_walls,kWh,2145.54569604,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,r_52_walls,kWh,4251.46240129,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,r_52_walls,kWh,7383.04845968,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,r_52_walls,kWh,827.481315863,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,r_52_walls,kWh,5425.5107979,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,roofs,r_52_walls,kWh,3150.9224977,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,r_52_walls,kWh,4151.07979897,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,r_52_walls,kWh,8375.56923589,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,r_52_walls,kWh,2499.22297437,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,r_52_walls,kWh,3425.46590963,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,r_52_walls,kWh,2584.72185041,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,r_52_walls,kWh,1142.52606918,cooling_demand.north,North,414
cooling,gain,east,r_52_walls,kWh,1356.76038379,cooling_demand.east,East,415
cooling,gain,south,r_52_walls,kWh,3114.19255892,cooling_demand.south,South,416
cooling,gain,west,r_52_walls,kWh,2242.04120915,cooling_demand.west,West,417
cooling,gain,horizontal,r_52_walls,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,r_52_walls,kWh,2330.11190964,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,r_52_walls,kWh,4251.46240129,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,r_52_walls,kWh,6746.21367629,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,r_80_roof,kWh,5171.4711368,heating_demand.walls_ag,Walls (AG),376
heating,loss,roofs,r_80_roof,kWh,2317.91686033,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,r_80_roof,kWh,4438.78306029,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,r_80_roof,kWh,7983.39846165,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,r_80_roof,kWh,2313.65446763,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,r_80_roof,kWh,5221.66567508,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,r_80_roof,kWh,14654.8215945,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,r_80_roof,kWh,885.836333466,heating_demand.north,North,390
heating,gain,east,r_80_roof,kWh,986.995228845,heating_demand.east,East,391
heating,gain,south,r_80_roof,kWh,4127.93892223,heating_demand.south,South,392
heating,gain,west,r_80_roof,kWh,2456.4321521,heating_demand.west,West,393
heating,gain,horizontal,r_80_roof,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,r_80_roof,kWh,1943.5346193,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,r_80_roof,kWh,4251.46240129,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,r_80_roof,kWh,7383.04845968,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,r_80_roof,kWh,796.09459192,cooling_demand.cooling_demand_2,Cooling Demand,399
