metric_group,end_use,variant_id,units,value,source_field_id,source_label,excel_row
per,solar_pv,code_minumum,kWh,0,primary_energy_renewable.solar_pv,Solar PV,535
co2e,heating,code_minumum,tonsCO2e,9.19544797068,co2e.heating,Heating,502
co2e,cooling,code_minumum,tonsCO2e,0.345269330147,co2e.cooling,Cooling,503
co2e,dhw,code_minumum,tonsCO2e,0.70328123585,co2e.dhw,DHW,504
co2e,dishwashing,code_minumum,tonsCO2e,0.1105001425,co2e.dishwashing,Dishwashing,505
co2e,clothes_washing,code_minumum,tonsCO2e,0.14477519745,co2e.clothes_washing,Clothes Washing,506
co2e,clothes_drying,code_minumum,tonsCO2e,0.004133888775,co2e.clothes_drying,Clothes Drying,507
co2e,refrigerator,code_minumum,tonsCO2e,0.24382,co2e.refrigerator,Refrigerator,508
co2e,cooking,code_minumum,tonsCO2e,0,co2e.cooking,Cooking,509
co2e,phi_lighting,code_minumum,tonsCO2e,0,co2e.phi_lighting,PHI Lighting,510
co2e,phi_consumer_elec,code_minumum,tonsCO2e,0.020207,co2e.phi_consumer_elec,PHI Consumer Elec.,511
co2e,phi_small_appliances,code_minumum,tonsCO2e,0,co2e.phi_small_appliances,PHI Small Appliances,512
co2e,phius_int_lighting,code_minumum,tonsCO2e,0.294324293664,co2e.phius_int_lighting,Phius Int. Lighting,513
co2e,phius_ext_lighting,code_minumum,tonsCO2e,0.0158294809918,co2e.phius_ext_lighting,Phius Ext. Lighting,514
co2e,phius_mel,code_minumum,tonsCO2e,0.850183016206,co2e.phius_mel,Phius MEL,515
co2e,aux_elec,code_minumum,tonsCO2e,3.27291413283,co2e.aux_elec,Aux Elec,516
co2e,ipcc_limit,code_minumum,tonsCO2e,5,co2e.ipcc_limit,IPCC Limit,517
phius_net_source_energy,total,code_minumum,kWh,73100.6332959,primary_energy.*,Primary Energy total,
phius_net_source_energy,limit,code_minumum,kWh,25875.0000001,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
site_energy,heating,improved,kWh,14607.658196,site_energy.heating,Heating,423
site_energy,cooling,improved,kWh,810.01211167,site_energy.cooling,Cooling,424
site_energy,dhw,improved,kWh,2058.4696725,site_energy.dhw,DHW,425
site_energy,dishwashing,improved,kWh,330.83875,site_energy.dishwashing,Dishwashing,426
site_energy,clothes_washing,improved,kWh,433.458675,site_energy.clothes_washing,Clothes Washing,427
site_energy,clothes_drying,improved,kWh,12.3769125,site_energy.clothes_drying,Clothes Drying,428
site_energy,refrigerator,improved,kWh,730,site_energy.refrigerator,Refrigerator,429
site_energy,cooking,improved,kWh,0,site_energy.cooking,Cooking,430
site_energy,phi_lighting,improved,kWh,0,site_energy.phi_lighting,PHI Lighting,431
site_energy,phi_consumer_elec,improved,kWh,60.5,site_energy.phi_consumer_elec,PHI Consumer Elec.,432
site_energy,phi_small_appliances,improved,kWh,0,site_energy.phi_small_appliances,PHI Small Appliances,433
site_energy,phius_int_lighting,improved,kWh,881.210460071,site_energy.phius_int_lighting,Phius Int. Lighting,434
site_energy,phius_ext_lighting,improved,kWh,47.3936556642,site_energy.phius_ext_lighting,Phius Ext. Lighting,435
site_energy,phius_mel,improved,kWh,2545.45813235,site_energy.phius_mel,Phius MEL,436
site_energy,aux_elec,improved,kWh,511.921446592,site_energy.aux_elec,Aux Elec,437
site_energy,solar_pv,improved,kWh,0,site_energy.solar_pv,Solar PV,438
primary_energy,heating,improved,kWh,26293.7847527,primary_energy.heating,Heating,441
phius_net_source_energy,heating,improved,kWh,26293.7847527,primary_energy.heating,Heating,441
primary_energy,cooling,improved,kWh,1458.02180101,primary_energy.cooling,Cooling,442
phius_net_source_energy,cooling,improved,kWh,1458.02180101,primary_energy.cooling,Cooling,442
primary_energy,dhw,improved,kWh,3705.24541049,primary_energy.dhw,DHW,443
phius_net_source_energy,dhw,improved,kWh,3705.24541049,primary_energy.dhw,DHW,443
primary_energy,dishwashing,improved,kWh,595.50975,primary_energy.dishwashing,Dishwashing,444
phius_net_source_energy,dishwashing,improved,kWh,595.50975,primary_energy.dishwashing,Dishwashing,444
primary_energy,clothes_washing,improved,kWh,780.225615,primary_energy.clothes_washing,Clothes Washing,445
phius_net_source_energy,clothes_washing,improved,kWh,780.225615,primary_energy.clothes_washing,Clothes Washing,445
primary_energy,clothes_drying,improved,kWh,22.2784425,primary_energy.clothes_drying,Clothes Drying,446
phius_net_source_energy,clothes_drying,improved,kWh,22.2784425,primary_energy.clothes_drying,Clothes Drying,446
primary_energy,refrigerator,improved,kWh,1314,primary_energy.refrigerator,Refrigerator,447
phius_net_source_energy,refrigerator,improved,kWh,1314,primary_energy.refrigerator,Refrigerator,447
primary_energy,cooking,improved,kWh,0,primary_energy.cooking,Cooking,448
